GEOID,latino_pop,total_pop
01001,2117,58805
01003,12686,231767
01005,1510,25223
01007,740,22293
01009,5771,59134
01011,503,10357
01013,260,19051
01015,5010,116441
01017,1237,34772
01019,400,24971
01021,4418,45014
01023,113,12665
01025,206,23087
01027,449,14236
01029,284,15056
01031,4887,53465
01033,1732,57227
01035,256,11597
01037,201,10387
01039,654,37570
01041,187,13194
01043,4146,87866
01045,3254,49326
01047,296,38462
01049,11744,71608
01051,2793,87977
01053,751,36757
01055,4895,103436
01057,396,16321
01059,6259,32113
01061,1296,26659
01063,61,7730
01065,149,14785
01067,334,17146
01069,4481,107202
01071,1681,52579
01073,34856,674721
01075,208,13972
01077,3078,93564
01079,895,33073
01081,9135,174241
01083,7248,103570
01085,140,10311
01087,361,19532
01089,24936,388153
01091,368,19323
01093,863,29341
01095,15658,97612
01097,13425,414809
01099,207,19772
01101,10684,228954
01103,12377,123421
01105,89,8511
01107,1053,19123
01109,905,33009
01111,605,21967
01113,3195,59183
01115,2575,91103
01117,16460,223024
01119,131,12345
01121,1779,82149
01123,1144,41311
01125,12298,227036
01127,2152,65342
01129,138,15388
01131,112,10600
01133,815,23540
02013,674,3420
02016,668,5232
02020,26438,291247
02050,207,18666
02060,45,844
02063,397,7102
02066,84,2617
02068,32,1619
02070,146,4857
02090,7320,95655
02100,67,2080
02105,120,2365
02110,2077,32255
02122,2328,58799
02130,650,13948
02150,1024,13101
02158,14,8368
02164,34,1476
02170,5244,107081
02180,186,10046
02185,548,11031
02188,102,7793
02195,164,3398
02198,160,5753
02220,501,8458
02230,41,1240
02240,376,6808
02275,76,2127
02282,29,662
02290,72,5343
04001,3861,66021
04003,42615,125447
04005,21719,145101
04007,9283,53272
04009,11428,38533
04011,4376,9563
04012,4197,16557
04013,1351415,4420568
04015,34126,213267
04017,10887,106717
04019,372788,1043433
04021,121533,425264
04023,39632,47669
04025,34390,236209
04027,130003,203881
05001,636,17149
05003,1114,19062
05005,1058,41627
05007,50540,284333
05009,973,37373
05011,1575,10545
05013,127,4739
05015,4306,28260
05017,581,10208
05019,1092,21446
05021,327,14552
05023,632,24711
05025,182,7550
05027,773,22801
05029,886,20715
05031,6727,111231
05033,4567,60133
05035,1428,48163
05037,352,16833
05039,201,6482
05041,773,11395
05043,656,17350
05045,6790,123498
05047,491,17097
05049,154,12075
05051,7047,100180
05053,440,17958
05055,1596,45736
05057,2953,20065
05059,1265,33040
05061,1517,12785
05063,3258,37938
05065,326,13577
05067,461,16755
05069,1488,67260
05071,3439,25749
05073,145,6308
05075,357,16216
05077,216,8600
05079,619,12941
05081,409,12026
05083,640,21131
05085,3610,74015
05087,890,16521
05089,379,16826
05091,1583,42600
05093,1771,40685
05095,186,6799
05097,415,8484
05099,354,8310
05101,82,7225
05103,516,22650
05105,286,10019
05107,264,16568
05109,831,10171
05111,829,22965
05113,1278,19221
05115,6415,63381
05117,145,8282
05119,33153,399125
05121,384,18571
05123,686,23090
05125,8507,123416
05127,748,9836
05129,140,7828
05131,19328,127799
05133,5508,15839
05135,362,17271
05137,271,12359
05139,1754,39054
05141,501,15796
05143,44755,245871
05145,3499,76822
05147,96,6269
05149,4204,20263
06001,393749,1682353
06003,84,1204
06005,6014,40474
06007,40112,211632
06009,5865,45292
06011,13476,21839
06013,314900,1165927
06015,5321,27743
06017,26459,191185
06019,540743,1008654
06021,12541,28917
06023,18535,136463
06025,153027,179702
06027,4399,19016
06029,499158,909235
06031,86607,152486
06033,15442,68163
06035,7531,32730
06037,4804763,10014009
06039,93178,156255
06041,49410,262321
06043,2140,17131
06045,23933,91601
06047,173857,281202
06049,1259,8700
06051,3507,13195
06053,265321,439035
06055,48829,138019
06057,10416,102241
06059,1086834,3186989
06061,60628,404739
06063,1897,19790
06065,1202295,2418185
06067,374434,1585055
06069,39241,64209
06071,1170913,2181654
06073,1119629,3298634
06075,136761,873965
06077,325725,779233
06079,67921,282424
06081,191386,764442
06083,210584,448229
06085,487357,1936259
06087,94299,270861
06089,19730,182155
06091,377,3236
06093,5527,44076
06095,128155,453491
06097,141438,488863
06099,265978,552878
06101,31568,99633
06103,17938,65829
06105,937,16112
06107,309895,473117
06109,7124,55620
06111,365285,843843
06113,71700,216403
06115,23520,81575
08001,216649,519572
08003,7701,16376
08005,135729,655070
08007,2159,13359
08009,346,3506
08011,1760,5650
08013,48168,330758
08014,9919,74112
08015,1841,19476
08017,206,1748
08019,648,9397
08021,3779,7461
08023,1988,3499
08025,1608,5922
08027,178,4704
08029,4329,31196
08031,199460,715522
08033,176,2326
08035,34110,357978
08037,16858,55731
08039,2067,26062
08041,129984,730395
08043,6049,48939
08045,19564,61685
08047,380,5808
08049,1533,15717
08051,1604,16918
08053,30,788
08055,2130,6820
08057,138,1379
08059,91514,582910
08061,104,1446
08063,1409,7087
08065,2662,7436
08067,7008,55638
08069,44662,359066
08071,5632,14555
08073,809,5675
08075,3511,21528
08077,23278,155703
08079,47,865
08081,2124,13292
08083,3109,25849
08085,9027,42679
08087,10566,29111
08089,7702,18690
08091,292,4874
08093,1235,17390
08095,1155,4530
08097,1892,17358
08099,4680,11999
08101,69921,168162
08103,622,6529
08105,4609,11539
08107,2200,24829
08109,2394,6368
08111,90,705
08113,882,8072
08115,363,2404
08117,5335,31055
08119,1716,24710
08121,516,4817
